id;title;ingredients;servings;category;instructions
1;Shoes Circle Louisiana;Niue;67818;Loan JBOD deposit;Health
2;Malta;leverage Cambridgeshire;47761;copy open Direct;Chips copy reboot
3;programming rich Street;Bedfordshire EXE;45473;quantify Vermont;Grocery cross-platform
4;Mexico;withdrawal Assurance Awesome;78277;Loan magenta back;Alley Representative
5;Utah Mountains Fresh;invoice;40093;experiences Tala;Baby invoice Pakistan
6;back Lake;alarm Tokelau Decentralized;45360;deposit drive;framework Money
7;Bike;Avon port;48820;Senior Wooden Representative;Soft Awesome JBOD
8;Frozen transmit Bacon;turn-key Rhode Accounts;58397;Central;bandwidth
9;input;azure District;84646;cutting-edge logistical;turquoise indigo streamline
10;Wooden Handcrafted Account;Account Mouse Phased;23808;parsing task-force;intangible Frozen state
